seed,model_group,model_label,selected_threshold,tuned_fraud_f1,tuned_pr_auc,tuned_roc_auc,runtime_minutes,inference_latency_ms_per_sample_mean,inference_latency_ms_per_sample_std,model_size_mb,export_eligible
42,classical_baseline,TFIDF_LogReg,0.59,0.8774703557312253,0.931170879689931,0.9891457680250784,0.25620686610539756,0.5715265870094299,0.017236788250704644,,False
42,classical_baseline,TFIDF_LinearSVM,0.0,0.9193548387096774,0.9479065357195365,0.9910869303110682,0.2611666560173035,0.5602072924375534,0.03045163764067059,,False
42,transformer,BERT,0.72,0.8888888888888888,0.9441551819977962,0.991976127320955,27.204614770412444,5.4896386961142225,0.043431298031922326,418.35458183288574,True
42,transformer,ALBERT,0.23,0.8559670781893004,0.9148337027737272,0.9904253074511695,32.49690850973129,9.286147852738699,0.6985391850801418,46.45186138153076,True
42,transformer,RoBERTa,0.21,0.8692307692307693,0.9315047456474829,0.9929060163973957,28.55098329782486,5.089995761712392,0.06819228637233313,478.9142198562622,True
123,classical_baseline,TFIDF_LogReg,0.53,0.8461538461538461,0.9143070310976784,0.988663491680733,0.2950160543123881,0.8099650343259176,0.22930821772152507,,False
123,classical_baseline,TFIDF_LinearSVM,-0.03252485467300007,0.8677685950413223,0.9312127338861124,0.9888684591270798,0.29597565333048503,0.6840918213129044,0.04459648084782019,,False
123,transformer,BERT,0.33,0.8429752066115702,0.901447002116374,0.9862129250060284,29.026347104708353,6.89855342109998,0.9361427544747956,418.35458183288574,True
123,transformer,ALBERT,0.9,0.788135593220339,0.8730637169111909,0.9698607427055703,32.77015504042308,9.568055470784506,0.7225348282058225,46.45186138153076,True
123,transformer,RoBERTa,0.18,0.807843137254902,0.8832813524017602,0.9794565348444659,21.934261775016786,5.336017658313115,0.2560007692724297,478.9142198562622,True
2024,classical_baseline,TFIDF_LogReg,0.56,0.8614232209737828,0.9328019195834052,0.9930612490957319,0.2951377868652344,0.9925998747348785,0.13663733304384645,,False
2024,classical_baseline,TFIDF_LinearSVM,0.0,0.9032258064516129,0.9557096915849183,0.9911110441282855,0.293940015633901,0.6244368851184845,0.007392703359919666,,False
2024,transformer,BERT,0.1,0.891566265060241,0.9239014284200865,0.9901901977333012,28.477171917756397,5.806713675459226,0.0665735075257907,418.35458183288574,True
2024,transformer,ALBERT,0.24,0.8745247148288974,0.914082714818052,0.9943106462503014,32.632742877801256,8.758091057340303,0.08500881460205906,46.45192241668701,True
2024,transformer,RoBERTa,0.57,0.8774703557312253,0.9170349353073519,0.9892437304075236,27.910631732145944,5.087156469623248,0.0320526549964363,478.91428089141846,True
