model_label,subgroup_column,subgroup_value,sample_count,fraud_count,fraud_precision,fraud_recall,fraud_f1
BERT,telecommuting,0,7670,361,0.9310344827586207,0.8227146814404432,0.8735294117647059
BERT,telecommuting,1,376,29,0.96,0.8275862068965517,0.8888888888888888
BERT,has_company_logo,0,1630,242,0.905940594059406,0.756198347107438,0.8243243243243243
BERT,has_company_logo,1,6416,148,0.971830985915493,0.9324324324324325,0.9517241379310345
BERT,has_questions,0,4110,261,0.9515418502202643,0.8275862068965517,0.8852459016393442
BERT,has_questions,1,3936,129,0.8974358974358975,0.813953488372093,0.8536585365853658
BERT,employment_type,Contract,667,17,0.875,0.4117647058823529,0.56
BERT,employment_type,Full-time,5240,230,0.9441860465116279,0.8826086956521739,0.9123595505617977
BERT,employment_type,Other,90,4,1.0,0.5,0.6666666666666666
BERT,employment_type,Part-time,396,36,0.896551724137931,0.7222222222222222,0.8
BERT,employment_type,Temporary,104,1,0.0,0.0,0.0
BERT,employment_type,nan,1549,102,0.9222222222222223,0.8137254901960784,0.8645833333333334
BERT,required_experience,Associate,1042,20,0.8421052631578947,0.8,0.8205128205128205
BERT,required_experience,Director,180,10,1.0,0.8,0.8888888888888888
BERT,required_experience,Entry level,1257,82,0.8904109589041096,0.7926829268292683,0.8387096774193549
BERT,required_experience,Executive,72,7,1.0,1.0,1.0
BERT,required_experience,Internship,177,4,1.0,0.5,0.6666666666666666
BERT,required_experience,Mid-Senior level,1746,48,0.9772727272727273,0.8958333333333334,0.9347826086956522
BERT,required_experience,Not Applicable,479,28,0.9473684210526315,0.6428571428571429,0.7659574468085106
BERT,required_experience,nan,3093,191,0.9418604651162791,0.8481675392670157,0.8925619834710744
BERT,industry,Accounting,69,25,0.9130434782608695,0.84,0.875
BERT,industry,Airlines/Aviation,29,0,0.0,0.0,0.0
BERT,industry,Animation,1,0,0.0,0.0,0.0
BERT,industry,Apparel & Fashion,48,0,0.0,0.0,0.0
BERT,industry,Architecture & Planning,6,0,0.0,0.0,0.0
BERT,industry,Automotive,61,1,1.0,1.0,1.0
BERT,industry,Aviation & Aerospace,8,0,0.0,0.0,0.0
BERT,industry,Banking,41,3,1.0,0.6666666666666666,0.8
BERT,industry,Biotechnology,19,2,0.6666666666666666,1.0,0.8
BERT,industry,Broadcast Media,30,0,0.0,0.0,0.0
BERT,industry,Building Materials,35,0,0.0,0.0,0.0
BERT,industry,Business Supplies and Equipment,13,3,1.0,1.0,1.0
BERT,industry,Capital Markets,1,0,0.0,0.0,0.0
BERT,industry,Chemicals,8,0,0.0,0.0,0.0
BERT,industry,Civic & Social Organization,19,3,0.0,0.0,0.0
BERT,industry,Civil Engineering,2,1,0.0,0.0,0.0
BERT,industry,Commercial Real Estate,1,0,0.0,0.0,0.0
BERT,industry,Computer & Network Security,24,4,1.0,0.5,0.6666666666666666
BERT,industry,Computer Games,41,0,0.0,0.0,0.0
BERT,industry,Computer Hardware,14,0,0.0,0.0,0.0
